Name,GP,MIN,FGA,FG%,EFG%,FTM,FT%,OREB,DREB,AST,STL,BLK,TOV,Target
Lester Conner,75,18.9,4.0,47.9,47.5,1.1,69.9,0.9,2.0,3.4,1.6,0.1,1.3,1
Mark Eaton,81,18.9,4.4,41.4,40.9,0.7,65.6,1.1,4.6,1.4,0.3,3.4,1.7,1
Bill Garnett,75,18.8,4.3,53.3,53.5,1.7,74.1,1.9,3.5,1.4,0.6,0.9,1.1,0
Jeff Taylor,44,17.6,3.6,40.0,41.7,0.7,65.2,0.6,1.2,2.5,0.9,0.3,1.4,0
Jeff Taylor,77,19.6,5.2,43.1,49.0,1.0,72.8,0.7,1.3,0.8,0.6,0.2,0.6,0
Bryan Warrick,43,16.9,4.0,38.0,37.5,1.0,73.7,0.3,1.3,2.9,0.5,0.2,1.6,0
Sleepy Floyd,76,16.4,6.9,42.9,44.2,2.0,83.3,0.7,1.1,1.8,0.8,0.2,1.4,1
Richard Anderson,78,16.3,5.5,40.4,40.9,0.6,69.6,1.4,2.1,1.5,0.7,0.3,1.2,1
Russ Schoene,77,15.9,5.6,47.6,48.2,0.8,73.5,1.2,2.1,0.8,0.3,0.3,1.1,0
John Bagley,68,14.6,5.5,43.2,43.6,0.9,76.2,0.3,1.2,2.5,0.8,0.1,1.7,1
Archie Goodwin,52,10.3,3.2,45.5,48.4,0.7,67.3,0.5,1.2,0.4,0.4,0.2,0.8,0
Cliff Levingston,62,14.2,4.4,48.5,47.7,1.4,57.1,1.7,2.1,0.8,0.4,0.6,1.2,1
LaSalle Thompson,71,13.9,4.0,51.2,52.5,1.3,65.0,1.9,3.4,0.5,0.6,0.9,1.4,1
Bruce Flowers,53,13.2,3.9,53.4,53.8,0.8,77.4,1.3,2.1,0.9,0.4,0.2,0.8,0
Corny Thompson,44,11.8,3.1,31.4,32.3,0.8,78.3,0.9,1.8,0.8,0.3,0.2,0.7,0
Walker Russell,68,11.1,2.7,36.4,37.0,0.7,81.0,0.3,0.8,1.9,0.2,0.0,1.4,1
David Thirdkill,49,10.6,3.5,43.5,42.9,0.9,57.7,0.6,0.9,0.7,0.4,0.1,1.0,1
Dave Batton,54,10.3,3.5,44.5,45.7,0.1,47.1,0.8,1.4,0.5,0.3,0.2,0.5,0
Darren Tillis,52,10.1,3.5,42.0,42.9,0.3,57.1,0.8,1.7,0.3,0.1,0.6,0.4,0
Brook Steppe,62,9.8,2.8,47.7,50.0,1.2,76.0,0.4,0.8,1.1,0.4,0.1,0.9,1
Rory White,65,9.6,3.6,54.3,55.6,1.1,64.2,0.7,0.9,0.5,0.3,0.0,0.8,1
Andre Roberson,40,10.0,1.7,48.5,50.0,0.2,70.0,0.9,1.5,0.4,0.5,0.3,0.5,0
Linton Townes,55,9.4,4.3,44.9,46.5,0.5,73.7,0.5,0.6,0.6,0.3,0.1,0.6,0
Eddie Phillips,48,8.7,2.9,40.6,41.4,0.8,67.8,0.6,1.0,0.6,0.3,0.2,1.0,0
Jim Johnstone,23,8.3,1.3,36.7,38.5,0.4,45.0,0.7,1.3,0.5,0.1,0.3,0.7,0
Jose Slaughter,63,8.2,3.8,37.4,38.2,0.6,64.4,0.5,0.5,0.8,0.6,0.1,0.7,0
Rickey Williams,44,7.9,3.1,41.5,41.9,0.8,66.0,0.3,0.5,0.8,0.5,0.1,0.9,0
Chris Engler,54,6.8,1.7,40.4,41.2,0.1,31.3,0.8,1.1,0.2,0.1,0.3,0.4,1
Ricky Pierce,39,6.8,2.3,37.5,34.8,0.5,56.3,0.4,0.5,0.4,0.2,0.1,0.5,1
Mark McNamara,36,5.1,1.8,45.3,44.4,0.6,44.4,0.9,1.2,0.2,0.1,0.1,1.0,1
Scott Hastings,31,4.5,1.2,34.2,33.3,0.4,55.0,0.5,0.8,0.1,0.2,0.0,0.3,1
Oliver Robinson,35,4.2,2.8,36.1,35.7,0.9,66.7,0.2,0.3,0.6,0.1,0.1,0.4,0
Kelly Tripucka,82,37.5,15.6,49.6,50.3,6.0,79.7,2.7,2.7,3.3,1.1,0.2,3.4,1
Buck Williams,82,34.5,10.7,58.2,58.9,3.0,62.4,4.2,8.0,1.3,1.0,1.0,2.9,1
Isiah Thomas*,72,33.8,14.8,42.4,43.2,4.2,70.4,0.8,2.1,7.8,2.1,0.2,4.2,1
Tom Chambers,81,33.1,13.0,52.5,52.3,3.5,62.0,2.6,4.3,1.8,0.7,0.6,2.7,1
Jay Vincent,81,32.4,17.9,49.7,49.7,3.6,71.6,2.2,4.7,2.2,1.1,0.3,2.4,1
Mark Aguirre,51,28.8,16.1,46.5,48.1,3.3,68.0,1.7,3.1,3.2,0.7,0.4,2.6,1
Herb Williams,82,27.8,10.4,47.7,48.1,1.5,67.0,2.1,5.2,1.7,0.7,2.2,1.7,1
Jeff Ruland,82,27.0,9.1,56.1,56.0,4.2,75.2,3.1,6.2,1.6,0.5,0.7,2.9,1
Frank Johnson,79,25.7,10.3,41.4,42.7,1.9,75.0,0.4,1.4,4.8,1.0,0.1,2.0,1
Elston Turner,80,25.0,8.0,44.1,43.8,1.2,70.3,1.8,2.0,2.4,0.9,0.0,1.4,1
Steve Johnson,78,22.3,8.3,61.3,61.4,2.7,64.2,1.9,3.9,1.2,0.5,1.1,2.5,1
Albert King,76,22.3,10.7,48.2,47.7,1.8,77.8,1.4,2.7,1.9,0.8,0.5,2.4,1
Gene Banks,80,21.3,8.2,47.7,47.6,1.8,68.4,2.0,3.2,1.8,0.7,0.2,1.3,1
Eddie Johnson,74,20.5,8.7,45.9,46.0,1.3,66.4,1.7,2.6,1.5,0.7,0.2,1.3,1
Danny Schayes,82,19.8,6.4,48.1,48.4,1.7,75.7,1.6,3.6,1.8,0.6,0.9,1.8,1
Rudy Macklin,79,19.2,6.1,43.4,44.3,1.7,77.5,1.4,1.9,0.6,0.5,0.3,1.4,0
Sam Williams,59,18.2,4.7,55.6,55.3,0.8,55.1,1.5,3.7,0.6,0.8,1.3,1.1,0
Kurt Rambis,64,17.7,3.6,51.8,50.0,0.9,50.4,1.8,3.6,0.9,0.9,1.2,1.2,1
Kurt Nimphius,63,17.2,4.7,46.1,46.8,1.0,58.3,1.5,3.2,1.0,0.3,1.3,0.9,1
Pete Verhoeven,71,17.0,4.2,50.3,50.0,0.7,70.8,1.5,2.1,0.7,0.6,0.3,0.8,1
Darnell Valentine,82,16.9,5.5,41.3,41.8,1.9,76.0,0.6,1.2,3.3,1.1,0.0,1.6,1
Jim Brogan,63,16.3,5.8,45.3,45.7,1.0,72.6,1.0,0.9,2.5,0.8,0.2,1.3,0
John Douglas,64,16.1,6.1,46.5,48.4,1.0,65.7,0.4,1.0,2.3,0.8,0.1,1.4,0
Kevin Loder,71,16.0,6.3,46.4,46.0,1.1,72.0,1.0,1.8,1.2,0.5,0.4,1.0,0
Orlando Woolridge,75,15.8,5.3,51.3,50.9,1.9,69.9,1.1,1.9,1.1,0.3,0.3,1.4,1
Alton Lister,80,14.8,3.6,51.9,52.8,0.8,52.0,1.4,3.5,1.1,0.2,1.5,1.6,1
Larry Nance,80,14.8,5.5,52.1,50.9,0.9,64.1,1.2,2.0,1.0,0.5,0.9,1.3,1
Danny Vranes,77,14.0,3.4,54.6,55.9,1.2,60.1,0.9,1.6,0.7,0.4,0.3,0.9,1
Ed Rains,49,13.0,3.6,43.5,44.4,0.8,59.4,0.8,0.9,0.8,0.4,0.0,0.5,0
Peyton Siva,24,9.3,2.4,31.6,39.6,0.5,73.3,0.1,0.5,1.4,0.4,0.0,0.8,0
Jim Smith,72,11.9,2.3,50.9,52.2,0.5,45.9,1.0,1.5,0.6,0.3,0.7,0.7,0
Jeff Lamp,54,11.4,3.6,51.0,52.8,0.9,82.0,0.4,0.7,0.5,0.3,0.0,0.8,1
Ray Blume,49,11.1,4.5,45.9,47.8,0.4,64.3,0.3,0.6,1.4,0.5,0.0,1.1,0
Garry Witts,46,10.7,1.8,58.3,61.1,0.7,82.5,0.6,0.7,0.8,0.4,0.1,0.8,0
Charlie Davis,54,10.6,3.4,47.8,47.1,0.6,81.1,1.0,1.5,0.6,0.2,0.2,0.8,0
Danny Ainge,53,10.6,4.2,35.7,36.9,1.1,86.2,0.5,0.6,1.6,0.7,0.1,1.0,1
Mike McGee,39,9.0,4.4,46.5,47.7,0.8,58.5,0.9,0.4,0.4,0.5,0.1,0.9,1
Mark Radford,43,8.6,2.3,54.0,56.5,0.8,50.7,0.3,0.4,1.3,0.4,0.1,1.0,0
Alex Bradley,39,8.5,2.6,52.4,53.8,0.7,60.4,0.8,0.9,0.3,0.3,0.1,0.7,0
Reggie Bullock,43,9.2,2.8,35.5,44.6,0.2,77.8,0.3,1.0,0.3,0.2,0.0,0.3,0
Howard Wood,42,8.1,2.9,45.8,44.8,0.8,65.4,0.5,1.0,0.2,0.2,0.1,0.4,0
Franklin Edwards,42,6.9,3.6,43.3,41.7,0.5,74.1,0.2,0.4,1.1,0.4,0.1,0.6,1
Bobby Cattage,49,6.9,2.8,44.4,42.9,0.6,73.2,0.4,1.0,0.1,0.1,0.0,0.4,0
Charles Bradley,51,6.6,2.4,45.1,45.8,0.8,67.7,0.2,0.5,0.4,0.3,0.1,0.7,0
Kevin McKenna,36,6.6,2.4,32.2,33.3,0.3,64.7,0.5,0.3,0.4,0.3,0.1,0.6,1
Joe Barry Carroll,82,35.6,15.3,49.1,49.0,3.8,71.6,3.3,5.9,1.4,0.6,1.5,3.0,1
Darrell Griffith,81,35.4,19.1,46.4,46.3,2.8,71.6,1.0,2.6,2.4,1.3,0.5,2.9,1
Larry Smith,82,31.4,7.2,51.2,51.4,2.2,58.8,5.3,6.8,1.1,0.8,0.8,1.8,1
Mike O'Koren,79,31.3,9.5,48.6,48.9,1.7,63.7,2.3,3.8,3.2,1.1,0.3,1.9,1
Kelvin Ransey,80,30.4,14.5,45.2,45.5,2.1,74.9,0.5,1.9,6.9,1.1,0.1,2.9,1
Malcolm Delaney,33,16.4,5.3,37.1,39.6,1.1,86.0,0.2,1.5,2.8,0.4,0.0,1.5,0
Otto Porter,37,8.6,2.5,36.3,38.0,0.2,66.7,0.6,1.0,0.3,0.2,0.0,0.4,0
Bill Laimbeer,81,30.4,8.3,50.3,50.6,1.4,76.5,3.3,5.3,2.7,0.7,1.0,1.6,1
Michael Brooks,82,30.2,12.4,47.9,48.4,2.8,70.6,2.6,2.8,2.5,1.2,0.4,2.0,1
Mike Gminski,56,28.2,12.3,42.3,42.3,2.8,76.7,2.4,5.0,1.3,1.0,1.8,2.3,1
Darwin Cook,81,24.4,10.1,46.8,47.0,1.6,73.3,1.2,1.7,3.7,1.7,0.4,2.2,1
Andrew Toney,75,23.6,10.7,49.5,50.0,2.1,71.2,0.4,1.5,3.6,0.8,0.1,2.9,1
Cedrick Hordges,68,23.5,7.1,46.0,46.5,1.9,69.9,1.8,5.0,1.5,0.5,0.3,1.8,0
Calvin Garrett,70,23.4,5.9,45.3,45.8,0.7,80.6,1.2,2.6,1.9,0.7,0.1,1.3,0
Don Collins,81,22.8,10.0,44.4,44.0,2.6,77.6,1.6,1.7,2.3,1.3,0.3,2.1,1
Louis Orr,82,21.8,8.6,49.1,48.8,2.0,80.7,2.1,2.3,1.6,0.7,0.3,1.5,1
Reggie Johnson,79,21.7,8.6,49.9,50.0,1.6,66.3,1.7,2.9,1.0,0.6,0.6,1.6,0
Larry Drew,76,20.8,6.4,40.7,41.4,1.4,79.7,0.3,1.3,3.3,1.2,0.1,2.2,1
Kevin McHale*,82,20.1,8.1,53.3,53.1,1.3,67.9,1.9,2.5,0.7,0.3,1.8,1.3,1
Lowes Moore,71,19.8,6.7,44.4,45.5,1.0,75.0,0.6,1.8,3.2,0.9,0.2,1.5,0
Wayne Robinson,81,19.7,6.3,46.0,46.0,2.2,72.9,1.4,2.2,1.4,0.6,0.3,1.8,0
Johnny Moore,82,19.2,6.3,47.9,47.6,1.3,61.0,0.7,1.7,4.5,1.5,0.3,1.9,1
Jeff Wilkins,56,18.9,4.6,45.0,45.7,0.5,67.5,1.1,3.8,0.7,0.6,0.8,1.1,1
Kyle Macy,82,17.9,6.5,51.1,51.5,1.3,89.9,0.5,1.1,2.0,0.9,0.1,1.2,1
Bill Hanzlik,74,17.0,3.9,47.8,48.7,1.6,79.3,0.9,1.2,1.5,0.8,0.3,1.1,1
Solomon Hill,28,8.1,1.4,42.5,53.6,0.2,85.7,0.3,1.1,0.4,0.2,0.1,0.5,0
Edgar Jones,60,15.8,6.0,52.9,53.3,2.4,67.0,1.5,2.9,0.7,0.6,1.4,1.7,1
Sam Worthen,64,14.8,3.0,49.5,50.0,0.7,75.0,0.3,1.5,1.8,0.9,0.1,1.4,0
James Johnson,68,14.4,3.5,54.2,54.3,1.5,59.4,1.6,3.0,0.6,0.1,1.1,1.0,1
James Johnson,65,11.6,3.2,45.2,50.0,0.8,72.9,0.5,1.4,0.7,0.3,0.7,0.9,1
Lorenzo Romar,53,13.7,4.0,41.2,40.0,0.8,68.3,0.2,0.9,2.6,0.5,0.1,1.0,1
Rick Mahorn,52,13.4,4.2,50.7,50.0,0.5,67.5,1.3,2.8,0.5,0.4,0.8,0.7,1
Rickey Brown,45,12.9,3.6,51.2,50.0,0.4,76.2,1.2,2.5,0.5,0.2,0.3,0.7,1
Butch Carter,54,12.4,4.6,46.2,46.7,1.3,73.7,0.6,0.6,1.0,0.4,0.0,0.9,1
Mike Woodson,81,11.7,4.6,44.2,43.5,0.6,76.6,0.4,0.8,0.9,0.4,0.1,0.7,1
John Duren,40,11.5,2.5,32.7,32.0,0.1,55.6,0.2,0.7,1.4,0.5,0.1,0.9,0
James Wilkes,48,11.3,3.8,46.2,47.4,0.6,69.0,0.8,1.3,0.6,0.5,0.3,0.7,0
Shabazz Muhammad,37,7.8,3.4,46.0,45.6,0.7,65.0,0.6,0.8,0.2,0.2,0.0,0.4,0
DeWayne Scales,44,11.0,5.1,41.8,41.2,0.6,66.7,1.1,1.9,0.2,0.3,0.1,0.7,0
Craig Shelton,55,10.7,4.0,45.7,45.0,0.6,60.3,1.1,1.4,0.5,0.3,0.1,1.1,0
Earl Cureton,52,10.2,3.9,45.4,46.2,0.6,51.6,1.0,2.0,0.5,0.4,0.4,0.6,1
Billy Reid,59,10.1,3.1,45.4,45.2,0.4,56.4,0.5,0.6,1.2,0.6,0.1,1.3,0
Jerry Sichting,47,9.6,2.0,35.8,35.0,0.5,78.1,0.2,0.7,1.5,0.5,0.0,0.6,1
Reggie Carter,60,8.9,3.0,33.0,33.3,0.9,73.9,0.5,0.7,1.3,0.4,0.0,0.6,0
Mike Harper,55,8.4,2.5,41.2,40.0,0.7,43.5,0.5,1.2,0.3,0.4,0.4,0.6,0
Mike Niles,44,5.3,3.1,34.8,35.5,0.4,45.9,0.6,0.7,0.3,0.2,0.0,0.6,0
Toure' Murry,51,7.3,2.5,43.4,46.0,0.5,59.0,0.3,0.6,1.0,0.4,0.0,0.7,0
Dionte Christmas,31,6.4,2.0,35.5,42.5,0.6,75.0,0.4,0.8,0.3,0.1,0.1,0.2,0
Damian Lillard,82,38.6,15.7,42.9,50.0,3.3,84.4,0.5,2.6,6.5,0.9,0.2,3.0,1
Bradley Beal,56,31.2,12.3,41.0,47.2,2.2,78.6,0.8,3.0,2.4,0.9,0.5,1.6,1
Semaj Christon,33,15.6,4.0,31.8,35.0,0.3,52.9,0.4,1.0,2.5,0.4,0.1,0.7,0
Anthony Davis,64,28.8,10.6,51.6,51.9,2.6,75.1,2.6,5.6,1.0,1.2,1.8,1.4,1
Dion Waiters,61,28.8,13.4,41.2,44.8,2.6,74.6,0.4,2.1,3.0,1.0,0.3,2.0,1
Kyle Singler,82,28.0,7.8,42.8,49.4,1.2,80.6,1.3,2.7,0.9,0.7,0.5,1.2,1
Tyler Zeller,77,26.4,7.3,43.8,43.8,1.6,76.4,2.1,3.6,1.2,0.5,0.9,1.2,1
Maurice Harkless,76,26.0,7.4,46.1,48.6,1.0,57.0,1.6,2.8,0.7,1.2,0.8,0.9,1
Michael Kidd-Gilchrist,78,26.0,7.9,45.8,45.6,1.8,74.9,1.7,4.2,1.5,0.7,0.9,1.3,1
Harrison Barnes,81,25.4,7.8,43.9,47.4,1.8,75.8,0.7,3.5,1.2,0.6,0.2,1.3,1
Austin Rivers,61,23.2,6.4,37.2,41.4,1.0,54.6,0.3,1.5,2.1,0.4,0.1,1.2,1
Caris LeVert,12,15.5,4.4,35.8,45.5,0.7,66.7,0.3,2.3,1.3,0.9,0.2,0.6,0
Andre Drummond,60,20.7,5.7,60.8,61.4,1.0,37.1,2.8,4.8,0.5,1.0,1.6,0.9,1
Jared Sullinger,45,19.8,5.0,49.3,50.0,1.0,74.6,2.0,3.8,0.8,0.5,0.5,0.6,0
Meyers Leonard,69,17.5,4.0,54.5,55.0,1.0,80.9,1.2,2.5,0.5,0.2,0.6,0.7,1
Patrick Beverley,41,17.4,4.6,41.8,51.1,0.8,82.9,1.1,1.6,2.9,0.9,0.5,1.1,1
Jae Crowder,78,17.3,4.7,38.4,46.8,0.6,64.4,0.4,1.9,1.2,0.8,0.2,0.6,1
Brian Roberts,78,17.0,6.6,41.7,47.0,0.9,90.9,0.2,1.0,2.8,0.5,0.0,0.9,1
Terrence Ross,73,17.0,6.3,40.7,46.8,0.4,71.4,0.5,1.5,0.7,0.6,0.2,0.7,1
Chris Copeland,56,15.4,6.8,47.9,56.6,1.1,75.9,0.6,1.5,0.5,0.3,0.2,0.9,0
Thomas Robinson,70,15.1,4.6,43.0,43.5,0.8,52.3,1.7,2.8,0.7,0.6,0.4,1.3,1
John Jenkins,61,14.8,4.8,44.6,53.1,1.0,84.3,0.3,1.3,0.9,0.2,0.2,0.7,1
Kendall Marshall,48,14.6,3.1,37.1,46.8,0.2,57.1,0.1,0.8,3.0,0.5,0.1,1.2,0
Draymond Green,79,13.4,3.3,32.7,36.4,0.6,81.8,0.7,2.6,0.7,0.5,0.3,0.7,1
Darius Miller,52,13.3,2.1,40.7,47.6,0.2,100.0,0.2,1.3,0.8,0.3,0.2,0.4,0
John Henson,63,13.1,5.3,48.2,49.1,0.9,53.3,1.8,2.9,0.5,0.3,0.7,0.8,1
Sheldon McClellan,11,13.7,3.7,41.5,44.6,1.5,88.9,0.2,0.7,0.8,0.5,0.1,0.2,0
DeQuan Jones,63,12.7,3.5,43.6,44.3,0.5,66.7,0.3,1.4,0.3,0.3,0.3,0.5,0
Doron Lamb,47,12.3,3.5,36.8,41.4,0.4,58.8,0.2,0.8,0.7,0.3,0.0,0.6,0
Will Barton,73,12.2,4.2,38.2,39.3,0.7,76.9,0.5,1.5,0.8,0.5,0.1,0.8,1
Orlando Johnson,51,12.1,3.5,40.0,50.0,0.5,71.9,0.4,1.8,0.9,0.2,0.2,0.6,0
Arnett Moultrie,47,11.5,2.9,58.2,58.6,0.4,64.3,1.6,1.5,0.2,0.4,0.2,0.4,0
Kyle O'Quinn,57,11.2,3.5,51.3,51.4,0.5,66.7,1.1,2.5,0.9,0.2,0.5,0.7,1
Bernard James,46,9.9,2.2,51.5,54.5,0.5,61.0,1.1,1.7,0.1,0.3,0.8,0.4,0
Kim English,41,9.9,2.7,37.5,42.6,0.5,72.4,0.2,0.7,0.6,0.4,0.1,0.5,0
Rodney McGruder,30,25.7,5.3,40.0,47.2,0.7,72.4,1.5,2.0,1.5,0.7,0.3,0.7,0
Mike Scott,40,9.4,3.7,47.6,48.6,1.1,76.8,1.0,1.8,0.3,0.1,0.1,0.5,1
Marquis Teague,48,8.2,2.4,38.1,39.6,0.2,56.3,0.1,0.9,1.3,0.2,0.1,0.7,0
Tony Wroten,35,7.8,2.5,38.4,38.0,0.6,72.4,0.4,0.4,1.2,0.2,0.1,0.8,0
Maalik Wayns,27,7.5,3.3,29.5,34.8,0.6,89.5,0.0,0.2,1.0,0.2,0.0,0.6,0
Jeremy Lamb,23,6.4,3.0,35.3,40.0,0.6,100.0,0.2,0.6,0.2,0.1,0.1,0.3,1
Brandon Knight,66,32.3,11.7,41.5,47.9,1.6,75.9,0.5,2.7,3.8,0.7,0.1,2.6,1
MarShon Brooks,56,29.4,11.4,42.8,46.5,2.0,76.4,1.3,2.3,2.3,0.9,0.3,2.1,0
Iman Shumpert,59,28.9,9.1,40.1,44.0,1.5,79.8,0.7,2.4,2.8,1.7,0.1,1.9,1
Chandler Parsons,63,28.6,8.7,45.2,50.6,0.7,55.1,1.4,3.3,2.1,1.2,0.5,1.3,1
Kemba Walker,66,27.2,11.6,36.6,41.4,2.5,78.9,0.5,3.1,4.4,0.9,0.3,1.8,1
Isaiah Thomas,65,25.5,8.8,44.8,51.7,2.4,83.2,0.7,1.8,4.1,0.8,0.1,1.6,1
Klay Thompson,66,24.4,10.9,44.3,51.8,1.2,86.8,0.4,2.1,2.0,0.7,0.3,1.6,1
Kawhi Leonard,64,24.0,6.3,49.3,54.0,1.1,77.3,1.6,3.5,1.1,1.3,0.4,0.7,1
Wade Baldwin,22,13.5,3.8,31.3,32.9,1.0,82.1,0.3,1.1,2.1,0.6,0.3,1.3,0
Kenneth Faried,46,22.5,6.7,58.6,58.2,2.4,66.5,3.1,4.6,0.8,0.7,1.0,1.2,1
Chris Singleton,66,21.7,4.7,37.2,45.7,0.5,68.2,0.7,2.9,0.7,1.1,0.5,0.6,0
Derrick Williams,66,21.5,7.5,41.2,45.3,2.1,69.7,1.2,3.5,0.6,0.5,0.5,1.2,1
Donald Sloan,33,20.3,6.0,39.9,40.8,0.7,76.7,0.5,1.5,3.2,0.4,0.1,1.5,1
Markieff Morris,63,19.5,6.9,39.9,45.7,1.2,71.7,1.1,3.3,1.0,0.7,0.7,1.1,1
Norris Cole,65,19.4,6.9,39.3,41.3,1.0,77.6,0.3,1.1,2.0,0.7,0.0,1.6,1
Jimmer Fredette,61,18.6,7.3,38.6,47.3,0.7,83.3,0.3,0.9,1.8,0.5,0.1,1.1,1
Charles Jenkins,51,17.5,5.7,44.7,44.7,0.7,87.2,0.2,1.2,3.3,0.7,0.1,1.2,0
Jaylen Brown,34,13.4,4.4,44.6,47.7,0.7,63.2,0.6,1.2,0.6,0.3,0.3,0.6,0
Ivan Johnson,56,16.7,4.9,51.3,51.0,1.3,72.0,1.2,2.9,0.6,0.8,0.3,1.2,0
Alec Burks,59,15.9,6.1,42.9,45.1,1.8,72.7,1.0,1.3,0.9,0.5,0.1,0.9,1
Lavoy Allen,41,15.2,4.1,47.3,46.3,0.3,78.6,1.1,3.0,0.8,0.3,0.4,0.5,1
Lance Thomas,42,15.0,3.0,45.2,46.7,1.2,83.9,1.2,1.8,0.3,0.2,0.2,0.6,1
Jordan Williams,43,14.8,3.5,50.7,51.4,1.0,65.2,1.5,2.1,0.3,0.5,0.3,0.5,0
Josh Harrellson,37,14.6,4.0,42.3,48.8,0.4,61.5,1.3,2.6,0.3,0.6,0.5,0.5,0
Greg Stiemsma,55,13.9,2.2,54.5,54.5,0.5,70.7,0.9,2.3,0.5,0.7,1.6,0.6,0
Jeremy Tyler,42,13.5,5.0,42.1,42.0,0.7,55.8,1.3,2.0,0.4,0.4,0.5,0.9,0
Malcolm Lee,19,12.8,3.1,39.0,40.3,0.7,82.4,0.5,0.9,1.6,0.4,0.2,0.9,0
Nolan Smith,44,12.3,4.1,37.2,40.2,0.5,71.4,0.4,0.9,1.4,0.4,0.1,0.9,0
Shelvin Mack,64,12.2,3.4,40.0,44.1,0.7,71.2,0.2,1.3,2.0,0.4,0.0,0.8,1
Jon Leuer,46,12.1,4.2,50.8,51.2,0.5,75.0,1.0,1.6,0.5,0.3,0.4,0.4,1
Tobias Harris,42,11.4,4.0,46.7,48.8,1.0,81.5,0.7,1.7,0.5,0.3,0.2,0.7,1
Cory Higgins,38,11.1,4.2,32.5,34.5,1.1,70.0,0.2,0.7,0.9,0.1,0.2,1.0,0
Andrew Goudelock,40,10.5,4.4,39.1,46.6,0.3,91.7,0.1,0.7,0.5,0.1,0.0,0.5,0
Jordan Hamilton,26,9.9,4.3,43.2,50.0,0.1,40.0,0.4,2.0,0.8,0.1,0.1,0.6,1
Mickell Gladness,26,9.7,2.3,42.4,43.5,0.2,50.0,0.5,1.7,0.2,0.1,0.8,0.3,0
Patrick McCaw,26,12.2,2.8,38.9,50.0,0.1,50.0,0.3,0.8,1.0,0.4,0.3,0.6,0
Jeremy Pargo,44,9.6,3.4,33.3,35.3,0.4,59.3,0.3,0.6,1.3,0.3,0.0,1.1,0
E'Twaun Moore,38,8.7,3.0,38.1,43.3,0.2,100.0,0.1,0.8,0.9,0.3,0.1,0.6,1
Jimmy Butler,42,8.5,1.9,40.5,42.1,1.0,76.8,0.5,0.8,0.3,0.3,0.1,0.3,1
JaJuan Johnson,36,8.3,3.4,44.6,44.1,0.2,66.7,0.6,1.1,0.2,0.1,0.4,0.4,0
Blake Griffin,82,38.0,16.8,50.6,50.9,5.4,64.2,3.3,8.8,3.8,0.8,0.6,2.7,1
John Wall,69,37.8,14.1,40.9,42.9,4.4,76.6,0.5,4.1,8.3,1.8,0.5,3.8,1
Landry Fields,82,31.0,7.3,49.7,56.2,1.4,76.9,1.3,5.1,1.9,1.0,0.2,1.3,1
DeMarcus Cousins,81,28.5,12.4,43.0,42.7,3.4,68.7,2.7,6.0,2.5,1.1,0.8,3.3,1
Greg Monroe,80,27.8,6.9,55.1,55.1,1.8,62.2,3.1,4.4,1.3,1.2,0.6,1.0,1
Wesley Johnson,79,26.2,8.6,39.7,47.1,0.8,69.6,0.6,2.4,1.9,0.7,0.7,1.2,1
Ed Davis,65,24.6,5.7,57.6,57.9,1.1,55.5,2.6,4.5,0.6,0.6,1.0,0.7,1
Jordan Crawford,42,24.5,11.9,38.4,42.0,1.7,86.9,0.7,1.8,2.8,0.9,0.1,2.0,0
Evan Turner,78,23.0,6.8,42.5,44.1,1.3,80.8,0.5,3.4,2.0,0.6,0.2,1.0,1
Eric Bledsoe,81,22.7,6.0,42.4,45.0,1.2,74.4,0.8,1.9,3.6,1.1,0.3,2.4,1
Gary Neal,80,21.1,7.9,45.1,55.7,1.1,80.8,0.3,2.2,1.2,0.3,0.1,1.0,1
Paul George,61,20.7,6.5,45.3,50.0,1.3,76.2,0.6,3.1,1.1,1.0,0.4,1.1,1
